city_code,value
01100,1
01202,0
01203,1
01204,1
01205,1
01206,1
01207,1
01208,1
01209,2
01210,0
01211,1
01212,1
01213,1
01214,1
01215,1
01216,2
01217,1
01218,0
01219,0
01220,1
01221,1
01222,2
01223,0
01224,0
01225,1
01226,0
01227,0
01228,1
01229,1
01230,1
01231,1
01233,1
01234,2
01235,1
01236,1
01303,0
01304,0
01331,1
01332,0
01333,0
01334,0
01337,1
01343,2
01345,1
01346,1
01347,0
01361,0
01362,0
01363,0
01364,0
01367,0
01370,0
01371,0
01391,0
01392,0
01393,0
01394,0
01395,1
01396,0
01397,0
01398,1
01399,0
01400,0
01401,0
01402,0
01403,0
01404,2
01405,0
01406,0
01407,0
01408,1
01409,0
01423,0
01424,1
01425,0
01427,0
01428,0
01429,0
01430,0
01431,0
01432,0
01433,0
01434,0
01436,0
01437,0
01438,0
01452,0
01453,0
01454,0
01455,0
01456,0
01457,0
01458,0
01459,0
01460,0
01461,0
01462,0
01463,2
01464,1
01465,0
01468,0
01469,0
01470,0
01471,2
01472,0
01481,2
01482,0
01483,2
01484,2
01485,2
01486,2
01487,2
01511,0
01512,0
01513,0
01514,1
01516,0
01517,2
01518,2
01519,2
01520,1
01543,2
01544,0
01545,1
01546,0
01547,0
01549,0
01550,0
01552,0
01555,0
01559,1
01560,0
01561,1
01562,0
01563,0
01564,1
01571,0
01575,0
01578,0
01581,2
01584,1
01585,1
01586,0
01601,0
01602,0
01604,0
01607,0
01608,0
01609,0
01610,1
01631,1
01632,1
01633,0
01634,1
01635,0
01636,1
01637,0
01638,0
01639,0
01641,0
01642,0
01643,1
01644,0
01645,0
01646,0
01647,1
01648,0
01649,0
01661,1
01662,0
01663,0
01664,0
01665,1
01667,0
01668,0
01691,0
01692,1
01693,0
01694,0
02201,1
02202,1
02203,1
02204,1
02205,1
02206,1
02207,1
02208,1
02209,0
02210,1
02301,1
02303,0
02304,0
02307,1
02321,0
02323,0
02343,0
02361,1
02362,0
02367,0
02381,0
02384,0
02387,0
02401,0
02402,1
02405,1
02406,0
02408,1
02411,1
02412,1
02423,1
02424,0
02425,0
02426,0
02441,1
02442,1
02443,0
02445,1
02446,1
02450,0
03201,1
03202,1
03203,1
03205,1
03206,1
03207,1
03208,1
03209,1
03210,1
03211,1
03213,1
03214,1
03215,1
03216,1
03301,1
03302,2
03303,1
03321,0
03322,1
03366,1
03381,1
03402,1
03441,1
03461,0
03482,0
03483,0
03484,0
03485,0
03501,1
03503,0
03506,0
03507,0
03524,0
04100,1
04202,1
04203,1
04205,1
04206,1
04207,1
04208,1
04209,1
04211,1
04212,1
04213,1
04214,1
04215,1
04216,1
04301,0
04302,0
04321,1
04322,0
04323,1
04324,0
04341,1
04361,1
04362,0
04401,0
04404,0
04406,1
04421,1
04422,0
04424,0
04444,0
04445,1
04501,0
04505,0
04581,1
04606,1
05201,1
05202,1
05203,1
05204,1
05206,1
05207,1
05209,1
05210,0
05211,1
05212,1
05213,1
05214,0
05215,1
05303,0
05327,2
05346,0
05348,2
05349,0
05361,0
05363,0
05366,0
05368,0
05434,1
05463,1
05464,0
06201,1
06202,1
06203,1
06204,1
06205,1
06206,1
06207,1
06208,1
06209,1
06210,1
06211,1
06212,1
06213,1
06301,0
06302,0
06321,1
06322,0
06323,0
06324,0
06341,0
06361,0
06362,1
06363,0
06364,1
06365,0
06366,0
06367,0
06381,1
06382,0
06401,1
06402,1
06403,0
06426,0
06428,1
06461,0
07201,1
07202,1
07203,1
07204,1
07205,1
07207,1
07208,1
07209,1
07210,1
07211,0
07212,1
07214,1
07301,0
07303,0
07308,0
07322,0
07342,0
07344,1
07362,0
07364,0
07367,1
07368,1
07402,0
07405,0
07407,0
07408,1
07421,1
07422,0
07423,0
07444,0
07446,0
07447,1
07461,0
07464,1
07465,0
07466,1
07481,0
07482,0
07483,1
07484,0
07501,0
07502,0
07503,0
07504,0
07505,0
07521,1
07522,0
07541,0
07542,0
07543,0
07544,1
07545,0
07546,2
07547,0
07548,0
07561,0
07564,1
08201,1
08202,1
08203,1
08204,1
08205,1
08207,1
08208,1
08210,1
08211,1
08212,1
08214,1
08215,1
08216,1
08217,1
08219,1
08220,1
08221,1
08222,1
08223,1
08224,1
08225,1
08226,1
08227,1
08228,1
08229,1
08230,1
08231,1
08232,1
08233,1
08234,1
08235,1
08236,1
08302,1
08309,0
08310,1
08341,1
08364,1
08442,1
08443,1
08447,0
08521,1
08542,1
08546,1
08564,0
09201,1
09202,1
09203,1
09204,1
09205,1
09206,1
09208,1
09209,1
09210,1
09211,1
09213,1
09214,1
09215,1
09216,1
09301,1
09342,1
09343,1
09344,0
09345,1
09361,1
09364,1
09384,0
09386,1
09407,1
09411,1
10201,1
10202,1
10203,1
10204,1
10205,1
10206,1
10207,1
10208,1
10209,1
10210,1
10211,0
10212,0
10344,0
10345,1
10366,0
10367,1
10382,0
10383,0
10384,0
10421,1
10424,0
10425,0
10426,0
10428,0
10429,0
10443,0
10444,0
10449,1
10464,1
10521,1
10522,0
10523,1
10524,1
10525,1
11100,1
11201,1
11202,1
11203,1
11206,1
11207,1
11208,1
11209,1
11210,1
11211,1
11212,1
11214,1
11215,1
11216,1
11217,1
11218,1
11219,1
11221,1
11222,1
11223,1
11224,1
11225,1
11227,1
11228,1
11229,1
11230,1
11231,1
11232,1
11233,1
11234,1
11235,1
11237,1
11238,1
11239,1
