,city,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
0,札幌市,84.8170289,90.17089075,82.95967571,88.8550222,89.45060787,93.73801371,87.11413747,77.56679034,94.46129089,80.35815676,92.35941811,98.58333304,87.64833672,89.14828383,89.57428085,80.93302136,92.49158728
1,函館市,79.80814845,87.10950756,91.50788264,91.14265318,92.11603196,76.66245023,67.71695516,69.58624228,69.06649481,72.99616822,88.29701403,83.51528332,86.03055484,88.36288551,87.12070013,75.72868855,97.83372728
2,小樽市,95.70284187,76.27190922,98.21839613,86.35335556,92.39390062,81.75358736,81.40785238,68.76606907,76.66637058,70.31125723,87.84539345,90.19246955,84.4507696,86.43479395,90.37076568,85.76331404,88.56982609
3,旭川市,84.03954577,92.03833763,99.79526876,72.5309476,90.23641817,86.94786278,79.26685475,81.26603809,75.84882259,79.31992458,90.61718215,85.48597238,86.22091558,85.80704979,86.80826412,89.82193532,87.57515147
4,室蘭市,99.33371214,84.35616128,98.12266385,74.91209577,88.1590837,93.55831641,83.56620379,84.11768036,100,73.75803211,97.16412362,92.84188763,91.60165188,77.17167548,100,91.5186223,82.56290962
5,釧路市,85.38556019,93.33466492,93.91040028,87.33324199,87.37309118,94.15146061,87.29515268,74.94146372,96.289775,80.23092251,94.55367705,91.77327627,92.64754882,91.65483951,97.02117692,82.31655767,94.27835538
6,帯広市,81.75199232,87.89594625,96.79214354,77.34347087,76.90494895,88.12582385,90.01862764,87.7952799,77.41066928,90.88307954,94.13938727,79.81786392,89.77868377,90.36763397,86.75655969,89.98318205,84.03729786
7,北見市,80.00923167,83.92704625,93.18077916,77.52991445,86.73863472,95.45641366,82.23791077,79.47430642,86.7047927,83.96560067,99.31540825,93.11355058,84.8324115,87.9184165,87.59919355,74.64971974,92.02784076
8,夕張市,88.0247466,77.80423753,91.0722198,90.09999321,90.27930286,0,95.93622717,100,67.22511398,79.68522143,68.51212623,96.29446027,97.98440487,80.34254377,4.875000756,93.40194005,47.61955387
9,岩見沢市,82.44602658,86.92223078,78.0256854,86.32710869,84.45091662,93.93876517,77.61449415,77.3897228,66.17030019,88.5931355,79.99269463,82.93407768,86.09787046,80.9572323,100,88.52034613,79.86839216
10,網走市,83.1495468,80.66568242,71.63386064,80.7954924,83.26437339,96.34290081,87.65763785,100,100,100,75.22248363,95.66945395,90.91566825,98.90124898,78.73298784,82.67604246,76.37692578
11,留萌市,88.51890427,79.48710348,96.71539561,100,84.97692124,88.75489083,90.05168612,96.26505927,100,79.32601471,96.57662344,98.07676402,80.19395979,91.95861081,100,73.51774382,86.78698836
12,苫小牧市,90.28445131,88.61404099,90.01982411,70.90532475,95.30256311,86.75333201,86.62813144,88.63167773,80.06520149,83.9676809,87.14292287,82.66784955,89.24334279,78.56713265,84.2687534,82.42980376,91.44383441
13,稚内市,87.44179033,80.7943085,90.80798213,96.62075894,88.41138468,100,89.91865308,87.45732621,100,84.982552,88.69256004,95.98882193,79.46927585,88.54419433,65.10709384,80.71379705,80.00552177
