,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
札幌市,0.337821216,0.692244838,0.884613046,0.44581148,0.384802473,0.675648221,0.380062361,0.367229437,0.606085451,0.474205858,0.554936468,0.454945781,0.649403968,0.32622323,0.583219379,0.47437785,0.501770092
函館市,0.337590743,0.688484138,0.878582539,0.406647376,0.400413617,0.671733514,0.395114352,0.402710468,0.54245101,0.450625388,0.559419133,0.438664145,0.644688583,0.335965308,0.567166296,0.654203853,0.624514909
小樽市,0.378656799,0.690038252,0.929078687,0.419944168,0.431332695,0.63936528,0.382136904,0.449316276,0.536557673,0.432380483,0.559578519,0.451127056,0.642669966,0.330578308,0.492647628,0.667864399,0.602977394
旭川市,0.378865223,0.708604427,0.783257881,0.426035168,0.492571675,0.668761842,0.427566824,0.409007981,0.582651902,0.444843735,0.565087275,0.438236745,0.645052521,0.348821613,0.539480178,0.604971347,0.612984475
室蘭市,0.424975017,0.691685907,0.909488641,0.435213827,0.402044768,0.639974133,0.394950058,0.393652963,0.720461066,0.49580243,0.55549755,0.478941347,0.643085344,0.33466048,0.509301395,0.574178832,0.720532065
釧路市,0.356716133,0.699191803,0.868409386,0.412048674,0.461188159,0.680167793,0.37294626,0.407849545,0.582925569,0.481805219,0.556945647,0.451311734,0.646751816,0.35169507,0.600412072,0.674494679,0.593175892
帯広市,0.362061431,0.715126033,0.858920429,0.49913587,0.407241045,0.679045254,0.367547607,0.398210085,0.547138097,0.479339042,0.557451408,0.474698648,0.649985338,0.4181745,0.48104218,0.563865375,0.296987917
北見市,0.376877855,0.705963482,0.8282892,0.539225719,0.468288109,0.671761824,0.380197278,0.531745216,0.624142571,0.391586516,0.555011218,0.439846917,0.653742623,0.383021412,0.604651427,0.68163039,0.539367682
夕張市,0.455668396,0.678811439,0.669404825,0.578132127,0.571633603,0.694580322,0.395595213,0.455352942,0.589156613,0.474839162,0.559533116,0.471992732,0.645426805,0.339092471,0.54900892,0.670857844,0.749451488
岩見沢市,0.376759886,0.712603457,0.887965518,0.502601693,0.470468863,0.689522994,0.426062351,0.453349433,0.619927156,0.42879068,0.55480742,0.455142462,0.644096823,0.424736039,0.512562264,0.684743234,0.593276962
網走市,0.313957445,0.740585429,0.785740631,0.509546918,0.441106999,0.698436448,0.382898651,0.450698531,0.558485993,0.474284254,0.554459662,0.45130725,0.641747988,0.464609697,0.565638738,0.669110831,0.536829944
留萌市,0.45262724,0.69324519,0.901237572,0.536630639,0.532329391,0.648163836,0.395679326,0.497261041,0.540995308,0.455436122,0.553009314,0.427142506,0.648321972,0.35547247,0.448546099,0.684825347,0.933074519
苫小牧市,0.420887172,0.700026969,0.827477568,0.515907927,0.378410591,0.671706496,0.383914553,0.42142582,0.636027681,0.465169634,0.555510271,0.468176648,0.651125886,0.332322253,0.586027611,0.547863186,0.615082635
稚内市,0.424503131,0.698329014,0.778444452,0.543533371,0.448140483,0.672049576,0.409334071,0.449229327,0.584802789,0.470178887,0.555130775,0.42552834,0.639568841,0.437161185,0.461745964,0.66786444,0.594849181
美唄市,0.390619307,0.696452994,0.756282278,0.52844694,0.499102545,0.676572722,0.355702055,0.534402037,0.620687023,0.396475602,0.553051378,0.474608996,0.646202111,0.429938147,0.44078489,0.671026766,0.59111164
芦別市,0.366904344,0.672083773,0.781913881,0.534654739,0.536322181,0.670661693,0.390099014,0.504357187,0.589756796,0.460836241,0.555396816,0.479576663,0.641954228,0.452167762,0.535241538,0.688005163,0.569393213
江別市,0.387592559,0.692518965,0.938270296,0.349624556,0.426734838,0.644856299,0.372432245,0.432484578,0.632340996,0.432106512,0.554967117,0.441074814,0.642328332,0.356482973,0.500733072,0.651100737,0.615886775
赤平市,0.457390608,0.699181549,0.853190377,0.502967334,0.539825149,0.641824637,0.390847246,0.457977678,0.676760542,0.461714724,0.560290926,0.463967791,0.650065467,0.363437449,0.444243525,0.679211337,0.631105749
紋別市,0.431968607,0.698272096,0.739121434,0.533776413,0.508995447,0.695050226,0.44848592,0.481072444,0.599281464,0.431268628,0.55464204,0.441032843,0.643743995,0.454414085,0.513386432,0.686151627,0.577733201
士別市,0.415010149,0.726599195,0.736346438,0.501718883,0.630446892,0.696149909,0.392423995,0.519058771,0.640504716,0.404847165,0.55482666,0.431693318,0.638076921,0.457477586,0.486791085,0.700456073,0.581807457
名寄市,0.386037843,0.702552638,0.770304063,0.577264085,0.493448566,0.678634151,0.421699939,0.501264377,0.582668655,0.42366196,0.553827808,0.434916416,0.642914327,0.431449107,0.568472717,0.707068637,0.772771268
三笠市,0.384664626,0.678387392,0.69270543,0.509575818,0.547088249,0.644518422,0.396935107,0.498532902,0.716584739,0.42260885,0.554397568,0.450815663,0.648840502,0.44150444,0.540178086,0.694504482,0.627457376
